state,emissions
Alabama,123.05
Alaska,37.81
Arizona,91.23
Arkansas,66.20
California,364.20
Colorado,90.64
Connecticut,34.68
Delaware,14.07
District of Columbia,2.71
Florida,224.20
Georgia,136.88
Hawaii,18.77
Idaho,15.89
Illinois,218.09
Indiana,194.07
Iowa,82.02
Kansas,67.27
Kentucky,138.12
Louisiana,205.52
Maine,16.01
Maryland,61.44
Massachusetts,62.83
Michigan,154.03
Minnesota,87.63
Mississippi,61.87
Missouri,128.59
Montana,30.66
Nebraska,50.58
Nevada,34.61
New Hampshire,14.82
New Jersey,106.08
New Mexico,54.61
New York,163.53
North Carolina,120.60
North Dakota,52.65
Ohio,217.19
Oklahoma,105.44
Oregon,37.03
Pennsylvania,237.48
Rhode Island,10.58
South Carolina,74.31
South Dakota,15.13
Tennessee,99.91
Texas,676.94
Utah,61.25
Vermont,5.56
Virginia,98.53
Washington,71.05
West Virginia,90.75
Wisconsin,90.94
Wyoming,66.16
